crop_type,growth_stage,soil_type,soil_moisture,temperature,humidity,rain_forecast,forecast_rainfall_mm,irrigation_method,disease_context,crop_kc,reference_et0,crop_etc,effective_precipitation_peff,soil_field_capacity,soil_wilting_point,action_code,urgency,water_requirement_mm
Potato,Flowering,Sandy,8.2,40.3,37.5,None,0.0,Sub-surface Drip,None / Healthy,1.15,6.2,7.13,0.0,15.0,6.0,IRRIGATE_IMMEDIATELY,Immediate,7.0
Corn,Maturity,Sandy,13.7,25.2,25.3,None,0.0,Flood / Surface,None / Healthy,0.6,3.62,2.17,0.0,15.0,6.0,OPTIMAL_STANDBY,Low,0.0
Sugarcane,Fruiting,Sandy,11.5,19.1,46.9,None,0.0,Sprinkler (Overhead),None / Healthy,1.25,2.0,2.5,0.0,15.0,6.0,MAINTENANCE_DRIP,Normal,2.88
Potato,Maturity,Black Soil,50.0,25.3,73.4,None,0.0,Flood / Surface,None / Healthy,0.75,2.23,1.67,0.0,40.0,22.0,OPTIMAL_STANDBY,Low,0.0
Wheat,Seedling,Clay Loam,37.8,31.3,69.9,None,0.0,Drip Irrigation,Tomato Septoria Leaf Spot,0.4,3.13,1.25,0.0,34.0,18.0,OPTIMAL_STANDBY,Low,0.0
Corn,Seedling,Clay Loam,34.4,23.8,86.3,None,0.0,Drip Irrigation,Tomato Yellow Leaf Curl Virus,0.4,2.0,0.8,0.0,34.0,18.0,OPTIMAL_STANDBY,Low,0.0
Cotton,Flowering,Clay Loam,43.8,16.7,37.0,Low,5.5,Sprinkler (Overhead),Potato Late Blight,1.2,2.0,2.4,1.89,34.0,18.0,SUSPEND_OVERHEAD_BLIGHT,Immediate,0.0
Corn,Maturity,Sandy Loam,21.2,25.0,74.1,Low,2.6,Drip Irrigation,None / Healthy,0.6,2.17,1.3,0.0,22.0,10.0,OPTIMAL_STANDBY,Low,0.0
Pepper Bell,Seedling,Sandy Loam,18.8,18.4,35.8,None,0.0,Sprinkler (Overhead),None / Healthy,0.6,2.07,1.24,0.0,22.0,10.0,MAINTENANCE_DRIP,Normal,1.5
Cotton,Flowering,Sandy Loam,21.2,18.9,43.3,Low,3.9,Drip Irrigation,None / Healthy,1.2,2.01,2.41,0.63,22.0,10.0,OPTIMAL_STANDBY,Low,0.0
Corn,Fruiting,Sandy,12.0,39.5,40.8,Moderate,9.3,Flood / Surface,None / Healthy,1.1,5.87,6.46,4.91,15.0,6.0,DELAY_RAIN_EXPECTED,Moderate,0.0
Cotton,Maturity,Clay Loam,32.2,21.2,25.5,None,0.0,Drip Irrigation,None / Healthy,0.55,2.81,1.55,0.0,34.0,18.0,OPTIMAL_STANDBY,Low,0.0
Tomato,Maturity,Black Soil,23.4,27.5,76.4,Low,1.3,Flood / Surface,None / Healthy,0.8,2.41,1.93,0.0,40.0,22.0,IRRIGATE_IMMEDIATELY,Immediate,3.5
Rice,Maturity,Sandy,14.1,18.2,53.3,Moderate,8.9,Sprinkler (Overhead),None / Healthy,0.95,2.0,1.9,4.66,15.0,6.0,OPTIMAL_STANDBY,Low,0.0
Rice,Fruiting,Sandy Loam,31.1,14.7,57.1,Moderate,7.9,Drip Irrigation,None / Healthy,1.2,2.0,2.4,3.84,22.0,10.0,OPTIMAL_STANDBY,Low,0.0
Tomato,Fruiting,Clay Loam,21.0,38.5,45.6,Moderate,10.6,Drip Irrigation,None / Healthy,1.2,5.41,6.49,5.97,34.0,18.0,IRRIGATE_IMMEDIATELY,Immediate,7.0
Rice,Vegetative,Clay Loam,17.1,36.3,48.6,None,0.0,Drip Irrigation,Tomato Early Blight,1.15,4.86,5.59,0.0,34.0,18.0,IRRIGATE_IMMEDIATELY,Immediate,7.0
Tomato,Maturity,Black Soil,39.5,15.0,57.5,None,0.0,Drip Irrigation,Tomato Target Spot,0.8,2.0,1.6,0.0,40.0,22.0,OPTIMAL_STANDBY,Low,0.0
Wheat,Vegetative,Sandy Loam,17.3,17.9,93.6,Low,2.8,Drip Irrigation,None / Healthy,0.75,2.0,1.5,0.0,22.0,10.0,MAINTENANCE_DRIP,Normal,1.5
Tomato,Vegetative,Clay Loam,18.8,30.4,44.6,None,0.0,Sprinkler (Overhead),None / Healthy,0.85,3.95,3.36,0.0,34.0,18.0,IRRIGATE_IMMEDIATELY,Immediate,4.33
Rice,Maturity,Clay Loam,31.4,20.7,51.8,Moderate,7.2,Flood / Surface,None / Healthy,0.95,2.13,2.02,3.23,34.0,18.0,OPTIMAL_STANDBY,Low,0.0
Pepper Bell,Seedling,Loamy,19.5,18.0,30.1,None,0.0,Drip Irrigation,None / Healthy,0.6,2.1,1.26,0.0,28.0,14.0,IRRIGATE_IMMEDIATELY,Immediate,3.5
Potato,Flowering,Clay Loam,26.4,18.0,39.5,None,0.0,Drip Irrigation,None / Healthy,1.15,2.0,2.3,0.0,34.0,18.0,MAINTENANCE_DRIP,Normal,2.0
Cotton,Fruiting,Black Soil,20.5,21.9,35.3,High,43.6,Flood / Surface,Tomato Target Spot,0.85,2.7,2.29,32.37,40.0,22.0,IRRIGATE_IMMEDIATELY,Immediate,3.5
Potato,Vegetative,Sandy Loam,23.5,29.3,56.6,Low,2.9,Drip Irrigation,None / Healthy,0.8,3.33,2.66,0.0,22.0,10.0,OPTIMAL_STANDBY,Low,0.0
Corn,Vegetative,Black Soil,41.2,37.4,33.3,High,23.1,Drip Irrigation,Tomato Target Spot,0.85,5.81,4.94,16.01,40.0,22.0,DELAY_RAIN_EXPECTED,Low,0.0
Tomato,Maturity,Sandy,10.3,20.2,73.7,Low,3.6,Flood / Surface,None / Healthy,0.8,2.0,1.6,0.39,15.0,6.0,MAINTENANCE_DRIP,Normal,1.66
Wheat,Vegetative,Clay Loam,36.1,34.1,75.9,None,0.0,Sub-surface Drip,None / Healthy,0.75,3.26,2.44,0.0,34.0,18.0,OPTIMAL_STANDBY,Low,0.0
Soybean,Fruiting,Sandy Loam,22.4,16.3,79.7,High,27.4,Drip Irrigation,Potato Late Blight,1.05,2.0,2.1,19.45,22.0,10.0,DELAY_RAIN_EXPECTED,Low,0.0
Sugarcane,Vegetative,Black Soil,47.9,36.2,94.5,None,0.0,Sprinkler (Overhead),Tomato Early Blight,0.85,3.33,2.83,0.0,40.0,22.0,SUSPEND_OVERHEAD_BLIGHT,Immediate,0.0
Rice,Seedling,Loamy,18.5,21.1,85.7,Moderate,12.1,Sprinkler (Overhead),None / Healthy,1.05,2.0,2.1,7.15,28.0,14.0,IRRIGATE_IMMEDIATELY,Immediate,3.5
Tomato,Vegetative,Clay Loam,32.5,17.1,87.2,Low,1.2,Flood / Surface,None / Healthy,0.85,2.0,1.7,0.0,34.0,18.0,OPTIMAL_STANDBY,Low,0.0
Rice,Flowering,Loamy,29.2,35.2,59.4,Low,4.1,Drip Irrigation,None / Healthy,1.25,4.16,5.2,0.8,28.0,14.0,OPTIMAL_STANDBY,Low,0.0
Pepper Bell,Maturity,Black Soil,47.2,37.0,48.2,High,40.8,Drip Irrigation,None / Healthy,0.85,5.0,4.25,30.17,40.0,22.0,DELAY_RAIN_EXPECTED,Low,0.0
Sugarcane,Seedling,Sandy Loam,11.5,23.1,36.3,None,0.0,Drip Irrigation,Tomato Yellow Leaf Curl Virus,0.45,2.9,1.3,0.0,22.0,10.0,IRRIGATE_IMMEDIATELY,Immediate,3.5
Wheat,Flowering,Loamy,18.7,24.2,29.4,None,0.0,Sprinkler (Overhead),None / Healthy,1.15,3.28,3.77,0.0,28.0,14.0,IRRIGATE_IMMEDIATELY,Immediate,4.7
Cotton,Maturity,Sandy Loam,23.9,33.3,49.5,None,0.0,Sub-surface Drip,None / Healthy,0.55,4.28,2.35,0.0,22.0,10.0,OPTIMAL_STANDBY,Low,0.0
Corn,Flowering,Clay Loam,29.4,18.7,69.8,None,0.0,Sprinkler (Overhead),None / Healthy,1.2,2.0,2.4,0.0,34.0,18.0,MAINTENANCE_DRIP,Normal,2.23
Pepper Bell,Flowering,Clay Loam,29.8,27.1,55.2,None,0.0,Sprinkler (Overhead),None / Healthy,1.05,3.03,3.18,0.0,34.0,18.0,MAINTENANCE_DRIP,Normal,3.06
Sugarcane,Seedling,Loamy,23.6,38.9,48.5,Low,5.5,Drip Irrigation,None / Healthy,0.45,5.33,2.4,1.93,28.0,14.0,MAINTENANCE_DRIP,Normal,2.23
Pepper Bell,Seedling,Black Soil,43.3,26.1,68.1,None,0.0,Drip Irrigation,None / Healthy,0.6,2.49,1.49,0.0,40.0,22.0,OPTIMAL_STANDBY,Low,0.0
Potato,Seedling,Black Soil,34.9,16.9,78.9,High,37.1,Flood / Surface,None / Healthy,0.5,2.0,1.0,27.2,40.0,22.0,DELAY_RAIN_EXPECTED,Low,0.0
Sugarcane,Vegetative,Loamy,23.7,18.3,49.5,High,20.5,Drip Irrigation,None / Healthy,0.85,2.0,1.7,13.87,28.0,14.0,DELAY_RAIN_EXPECTED,Low,0.0
Sugarcane,Fruiting,Clay Loam,41.3,37.4,55.7,None,0.0,Drip Irrigation,Pepper Bell Bacterial Spot,1.25,4.69,5.86,0.0,34.0,18.0,OPTIMAL_STANDBY,Low,0.0
Rice,Maturity,Black Soil,33.1,41.9,41.2,Moderate,13.3,Sprinkler (Overhead),None / Healthy,0.95,6.34,6.02,8.16,40.0,22.0,DELAY_RAIN_EXPECTED,Low,0.0
Sugarcane,Fruiting,Loamy,13.7,33.2,40.1,None,0.0,Sub-surface Drip,Tomato Early Blight,1.25,4.66,5.83,0.0,28.0,14.0,IRRIGATE_IMMEDIATELY,Immediate,7.0
Sugarcane,Maturity,Loamy,28.9,33.9,24.2,High,35.4,Sprinkler (Overhead),None / Healthy,0.7,5.48,3.84,25.84,28.0,14.0,DELAY_RAIN_EXPECTED,Low,0.0
Soybean,Vegetative,Clay Loam,29.9,22.1,71.7,None,0.0,Sub-surface Drip,None / Healthy,0.7,2.0,1.4,0.0,34.0,18.0,MAINTENANCE_DRIP,Normal,1.55
Sugarcane,Flowering,Clay Loam,26.8,41.5,80.3,Low,5.3,Drip Irrigation,Tomato Yellow Leaf Curl Virus,1.25,4.01,5.01,1.74,34.0,18.0,MAINTENANCE_DRIP,Normal,4.92
Tomato,Vegetative,Sandy Loam,21.0,18.3,22.9,None,0.0,Sub-surface Drip,None / Healthy,0.85,2.27,1.93,0.0,22.0,10.0,OPTIMAL_STANDBY,Low,0.0
Cotton,Seedling,Clay Loam,21.1,38.6,92.1,Moderate,16.4,Drip Irrigation,None / Healthy,0.45,3.64,1.64,10.64,34.0,18.0,IRRIGATE_IMMEDIATELY,Immediate,3.5
Wheat,Fruiting,Sandy,14.8,24.9,50.2,None,0.0,Flood / Surface,None / Healthy,0.85,2.84,2.41,0.0,15.0,6.0,OPTIMAL_STANDBY,Low,0.0
Corn,Seedling,Black Soil,49.2,26.3,79.0,None,0.0,Drip Irrigation,None / Healthy,0.4,2.18,0.87,0.0,40.0,22.0,OPTIMAL_STANDBY,Low,0.0
Soybean,Vegetative,Loamy,37.5,23.4,48.6,Low,4.7,Sub-surface Drip,None / Healthy,0.7,2.65,1.85,1.24,28.0,14.0,OPTIMAL_STANDBY,Low,0.0
Cotton,Vegetative,Sandy Loam,22.3,31.3,88.1,Low,4.6,Drip Irrigation,Tomato Target Spot,0.75,2.73,2.05,1.16,22.0,10.0,OPTIMAL_STANDBY,Low,0.0
Rice,Maturity,Sandy,14.3,17.8,81.3,Moderate,15.1,Sub-surface Drip,None / Healthy,0.95,2.0,1.9,9.58,15.0,6.0,DELAY_RAIN_EXPECTED,Low,0.0
Tomato,Fruiting,Sandy Loam,7.4,22.8,72.6,Low,2.9,Drip Irrigation,None / Healthy,1.2,2.0,2.4,0.0,22.0,10.0,IRRIGATE_IMMEDIATELY,Immediate,3.5
Soybean,Vegetative,Black Soil,30.3,22.8,57.9,Moderate,14.2,Flood / Surface,None / Healthy,0.7,2.3,1.61,8.82,40.0,22.0,DELAY_RAIN_EXPECTED,Low,0.0
Sugarcane,Vegetative,Loamy,10.1,35.7,87.9,Moderate,9.6,Sub-surface Drip,Tomato Septoria Leaf Spot,0.85,3.27,2.78,5.16,28.0,14.0,IRRIGATE_IMMEDIATELY,Immediate,3.55
Wheat,Seedling,Sandy Loam,23.0,16.9,65.1,Low,2.5,Drip Irrigation,None / Healthy,0.4,2.0,0.8,0.0,22.0,10.0,OPTIMAL_STANDBY,Low,0.0
Rice,Flowering,Sandy,14.1,41.6,55.0,None,0.0,Sprinkler (Overhead),None / Healthy,1.25,5.47,6.84,0.0,15.0,6.0,OPTIMAL_STANDBY,Low,0.0
Tomato,Vegetative,Sandy,6.8,28.4,93.7,None,0.0,Flood / Surface,None / Healthy,0.85,2.4,2.04,0.0,15.0,6.0,IRRIGATE_IMMEDIATELY,Immediate,3.5
Soybean,Fruiting,Sandy,14.9,40.5,48.3,None,0.0,Drip Irrigation,None / Healthy,1.05,5.65,5.93,0.0,15.0,6.0,OPTIMAL_STANDBY,Low,0.0
Pepper Bell,Fruiting,Sandy,6.2,25.8,26.6,Moderate,9.2,Sprinkler (Overhead),None / Healthy,1.1,3.68,4.05,4.88,15.0,6.0,IRRIGATE_IMMEDIATELY,Immediate,4.98
Wheat,Vegetative,Black Soil,39.3,17.7,59.3,None,0.0,Drip Irrigation,None / Healthy,0.75,2.0,1.5,0.0,40.0,22.0,OPTIMAL_STANDBY,Low,0.0
Corn,Flowering,Sandy,11.4,31.3,32.9,Low,3.1,Sprinkler (Overhead),Tomato Yellow Leaf Curl Virus,1.2,4.57,5.48,0.0,15.0,6.0,MAINTENANCE_DRIP,Normal,5.5
Corn,Maturity,Clay Loam,39.9,20.7,34.9,Moderate,12.5,Sprinkler (Overhead),None / Healthy,0.6,2.5,1.5,7.47,34.0,18.0,OPTIMAL_STANDBY,Low,0.0
Potato,Flowering,Black Soil,33.7,31.1,74.6,None,0.0,Sprinkler (Overhead),None / Healthy,1.15,2.92,3.36,0.0,40.0,22.0,MAINTENANCE_DRIP,Normal,3.45
Cotton,Seedling,Sandy,12.5,20.9,24.8,None,0.0,Drip Irrigation,None / Healthy,0.45,2.76,1.24,0.0,15.0,6.0,MAINTENANCE_DRIP,Normal,1.5
Potato,Seedling,Black Soil,38.4,33.5,72.8,None,0.0,Drip Irrigation,None / Healthy,0.5,3.31,1.66,0.0,40.0,22.0,OPTIMAL_STANDBY,Low,0.0
Corn,Fruiting,Sandy Loam,18.6,15.9,53.6,Low,1.8,Drip Irrigation,Tomato Target Spot,1.1,2.0,2.2,0.0,22.0,10.0,MAINTENANCE_DRIP,Normal,2.13
Tomato,Vegetative,Clay Loam,15.6,32.0,40.3,None,0.0,Flood / Surface,None / Healthy,0.85,4.42,3.76,0.0,34.0,18.0,IRRIGATE_IMMEDIATELY,Immediate,4.79
Soybean,Flowering,Black Soil,37.0,35.0,50.0,Low,1.4,Sprinkler (Overhead),None / Healthy,1.15,4.55,5.23,0.0,40.0,22.0,OPTIMAL_STANDBY,Low,0.0
Pepper Bell,Fruiting,Loamy,20.3,39.9,46.5,Moderate,15.0,Sprinkler (Overhead),None / Healthy,1.1,5.64,6.2,9.48,28.0,14.0,DELAY_RAIN_EXPECTED,Low,0.0
Potato,Fruiting,Loamy,14.2,25.1,43.7,None,0.0,Sub-surface Drip,Potato Late Blight,1.15,3.05,3.51,0.0,28.0,14.0,IRRIGATE_IMMEDIATELY,Immediate,4.66
Pepper Bell,Maturity,Sandy,8.9,27.2,80.1,Low,3.3,Drip Irrigation,None / Healthy,0.85,2.25,1.91,0.14,15.0,6.0,IRRIGATE_IMMEDIATELY,Immediate,3.5
Tomato,Fruiting,Sandy Loam,17.3,31.5,56.8,Moderate,16.6,Drip Irrigation,None / Healthy,1.2,3.68,4.42,10.78,22.0,10.0,DELAY_RAIN_EXPECTED,Low,0.0
Rice,Seedling,Sandy Loam,30.3,21.7,50.5,None,0.0,Drip Irrigation,None / Healthy,1.05,2.32,2.44,0.0,22.0,10.0,OPTIMAL_STANDBY,Low,0.0
Cotton,Flowering,Loamy,20.4,36.6,82.7,None,0.0,Flood / Surface,None / Healthy,1.2,3.39,4.07,0.0,28.0,14.0,MAINTENANCE_DRIP,Normal,4.08
Soybean,Vegetative,Loamy,34.4,20.8,44.6,None,0.0,Drip Irrigation,None / Healthy,0.7,2.3,1.61,0.0,28.0,14.0,OPTIMAL_STANDBY,Low,0.0
Sugarcane,Maturity,Sandy Loam,28.0,18.4,92.3,None,0.0,Drip Irrigation,None / Healthy,0.7,2.0,1.4,0.0,22.0,10.0,OPTIMAL_STANDBY,Low,0.0
Rice,Seedling,Loamy,17.2,16.9,20.1,Low,3.3,Flood / Surface,Pepper Bell Bacterial Spot,1.05,2.05,2.15,0.1,28.0,14.0,IRRIGATE_IMMEDIATELY,Immediate,3.5
Sugarcane,Vegetative,Loamy,15.9,21.5,82.2,Moderate,7.1,Flood / Surface,Pepper Bell Bacterial Spot,0.85,2.0,1.7,3.16,28.0,14.0,IRRIGATE_IMMEDIATELY,Immediate,3.5
Potato,Flowering,Clay Loam,33.4,31.9,91.4,Moderate,17.8,Drip Irrigation,None / Healthy,1.15,2.81,3.23,11.74,34.0,18.0,DELAY_RAIN_EXPECTED,Low,0.0
Pepper Bell,Fruiting,Loamy,32.6,25.3,74.2,Moderate,14.5,Sub-surface Drip,Tomato Early Blight,1.1,2.2,2.42,9.12,28.0,14.0,DELAY_RAIN_EXPECTED,Low,0.0
Sugarcane,Seedling,Black Soil,22.1,27.1,51.0,Low,3.9,Drip Irrigation,None / Healthy,0.45,3.17,1.43,0.61,40.0,22.0,IRRIGATE_IMMEDIATELY,Immediate,3.5
Corn,Seedling,Black Soil,34.1,27.5,63.0,None,0.0,Flood / Surface,None / Healthy,0.4,2.85,1.14,0.0,40.0,22.0,MAINTENANCE_DRIP,Normal,1.5
Corn,Fruiting,Loamy,23.8,14.6,91.5,None,0.0,Sprinkler (Overhead),None / Healthy,1.1,2.0,2.2,0.0,28.0,14.0,MAINTENANCE_DRIP,Normal,2.25
Cotton,Flowering,Sandy,14.3,31.4,64.7,None,0.0,Sub-surface Drip,None / Healthy,1.2,3.34,4.01,0.0,15.0,6.0,OPTIMAL_STANDBY,Low,0.0
Wheat,Maturity,Sandy,11.7,40.3,85.4,None,0.0,Drip Irrigation,None / Healthy,0.35,3.87,1.35,0.0,15.0,6.0,MAINTENANCE_DRIP,Normal,1.5
Corn,Flowering,Sandy,15.3,37.4,66.5,None,0.0,Sprinkler (Overhead),None / Healthy,1.2,4.16,4.99,0.0,15.0,6.0,OPTIMAL_STANDBY,Low,0.0
Potato,Flowering,Sandy Loam,22.4,30.4,43.3,Moderate,18.0,Sub-surface Drip,None / Healthy,1.15,4.02,4.62,11.89,22.0,10.0,DELAY_RAIN_EXPECTED,Low,0.0
Soybean,Vegetative,Sandy Loam,20.2,29.4,93.8,None,0.0,Flood / Surface,None / Healthy,0.7,2.52,1.76,0.0,22.0,10.0,OPTIMAL_STANDBY,Low,0.0
Corn,Flowering,Sandy,15.9,18.9,78.7,None,0.0,Flood / Surface,None / Healthy,1.2,2.0,2.4,0.0,15.0,6.0,OPTIMAL_STANDBY,Low,0.0
Potato,Seedling,Black Soil,38.2,19.8,65.6,None,0.0,Flood / Surface,Tomato Target Spot,0.5,2.0,1.0,0.0,40.0,22.0,OPTIMAL_STANDBY,Low,0.0
Potato,Maturity,Loamy,14.3,40.0,39.7,High,25.0,Sprinkler (Overhead),None / Healthy,0.75,6.02,4.51,17.54,28.0,14.0,IRRIGATE_IMMEDIATELY,Immediate,5.44
Wheat,Seedling,Clay Loam,35.6,15.5,39.1,Low,4.2,Flood / Surface,None / Healthy,0.4,2.0,0.8,0.85,34.0,18.0,OPTIMAL_STANDBY,Low,0.0
Potato,Vegetative,Sandy Loam,20.3,20.1,59.3,None,0.0,Sub-surface Drip,Tomato Yellow Leaf Curl Virus,0.8,2.0,1.6,0.0,22.0,10.0,OPTIMAL_STANDBY,Low,0.0
Sugarcane,Flowering,Black Soil,20.8,34.9,56.7,None,0.0,Flood / Surface,None / Healthy,1.25,4.23,5.29,0.0,40.0,22.0,IRRIGATE_IMMEDIATELY,Immediate,6.32
Potato,Maturity,Loamy,26.2,19.0,59.6,None,0.0,Sprinkler (Overhead),None / Healthy,0.75,2.0,1.5,0.0,28.0,14.0,OPTIMAL_STANDBY,Low,0.0
Potato,Vegetative,Sandy,11.2,32.2,74.4,None,0.0,Sprinkler (Overhead),Pepper Bell Bacterial Spot,0.8,3.07,2.46,0.0,15.0,6.0,SUSPEND_OVERHEAD_BLIGHT,Immediate,0.0
Pepper Bell,Vegetative,Clay Loam,26.6,33.7,33.4,None,0.0,Sub-surface Drip,None / Healthy,0.8,5.04,4.03,0.0,34.0,18.0,MAINTENANCE_DRIP,Normal,3.86
Cotton,Flowering,Sandy,4.9,26.6,27.1,Low,4.0,Sub-surface Drip,Tomato Target Spot,1.2,3.83,4.6,0.7,15.0,6.0,IRRIGATE_IMMEDIATELY,Immediate,5.82
Soybean,Fruiting,Sandy Loam,29.3,37.2,79.4,Low,5.4,Sub-surface Drip,None / Healthy,1.05,3.49,3.66,1.83,22.0,10.0,OPTIMAL_STANDBY,Low,0.0
Tomato,Flowering,Loamy,22.1,37.3,76.8,High,32.5,Sprinkler (Overhead),None / Healthy,1.15,3.64,4.19,23.48,28.0,14.0,DELAY_RAIN_EXPECTED,Low,0.0
Cotton,Fruiting,Loamy,20.6,19.7,29.1,None,0.0,Flood / Surface,None / Healthy,0.85,2.44,2.07,0.0,28.0,14.0,MAINTENANCE_DRIP,Normal,2.01
Corn,Fruiting,Sandy Loam,11.3,37.5,74.2,None,0.0,Sprinkler (Overhead),None / Healthy,1.1,3.79,4.17,0.0,22.0,10.0,IRRIGATE_IMMEDIATELY,Immediate,5.23
Wheat,Fruiting,Sandy,16.3,37.1,75.9,High,35.5,Flood / Surface,None / Healthy,0.85,3.65,3.1,25.88,15.0,6.0,DELAY_RAIN_EXPECTED,Low,0.0
Rice,Seedling,Sandy,25.3,40.7,73.0,None,0.0,Flood / Surface,None / Healthy,1.05,4.31,4.53,0.0,15.0,6.0,OPTIMAL_STANDBY,Low,0.0
Tomato,Seedling,Loamy,24.2,38.6,93.5,None,0.0,Drip Irrigation,None / Healthy,0.6,3.65,2.19,0.0,28.0,14.0,MAINTENANCE_DRIP,Normal,2.46
Soybean,Maturity,Loamy,39.7,36.6,62.1,None,0.0,Drip Irrigation,None / Healthy,0.5,4.26,2.13,0.0,28.0,14.0,OPTIMAL_STANDBY,Low,0.0
Sugarcane,Vegetative,Sandy,12.9,34.8,64.3,Low,3.7,Drip Irrigation,None / Healthy,0.85,3.88,3.3,0.46,15.0,6.0,MAINTENANCE_DRIP,Normal,3.31
Soybean,Fruiting,Sandy Loam,17.8,23.7,66.4,Low,3.9,Sprinkler (Overhead),Tomato Yellow Leaf Curl Virus,1.05,2.22,2.33,0.64,22.0,10.0,MAINTENANCE_DRIP,Normal,2.29
Rice,Flowering,Black Soil,29.1,24.2,24.7,Low,5.5,Drip Irrigation,None / Healthy,1.25,3.41,4.26,1.89,40.0,22.0,IRRIGATE_IMMEDIATELY,Immediate,5.39
Rice,Flowering,Loamy,26.0,40.8,81.7,None,0.0,Sprinkler (Overhead),Tomato Target Spot,1.25,3.93,4.91,0.0,28.0,14.0,SUSPEND_OVERHEAD_BLIGHT,Immediate,0.0
Soybean,Vegetative,Sandy,4.9,20.6,32.6,High,27.9,Drip Irrigation,Pepper Bell Bacterial Spot,0.7,2.53,1.77,19.81,15.0,6.0,IRRIGATE_IMMEDIATELY,Immediate,3.5
Rice,Fruiting,Sandy,5.4,28.4,74.7,None,0.0,Drip Irrigation,None / Healthy,1.2,2.58,3.1,0.0,15.0,6.0,IRRIGATE_IMMEDIATELY,Immediate,4.21
Sugarcane,Seedling,Loamy,28.6,41.0,67.0,Moderate,15.6,Sprinkler (Overhead),None / Healthy,0.45,4.68,2.11,10.0,28.0,14.0,DELAY_RAIN_EXPECTED,Low,0.0
Tomato,Vegetative,Clay Loam,35.1,31.0,77.5,Low,4.7,Sprinkler (Overhead),Tomato Target Spot,0.85,2.8,2.38,1.26,34.0,18.0,SUSPEND_OVERHEAD_BLIGHT,Immediate,0.0
Rice,Fruiting,Clay Loam,26.4,33.5,90.3,Low,1.8,Flood / Surface,Tomato Yellow Leaf Curl Virus,1.2,3.0,3.6,0.0,34.0,18.0,MAINTENANCE_DRIP,Normal,3.77
Potato,Seedling,Black Soil,36.6,31.3,38.5,None,0.0,Drip Irrigation,Potato Late Blight,0.5,4.37,2.19,0.0,40.0,22.0,OPTIMAL_STANDBY,Low,0.0
Soybean,Maturity,Sandy,8.3,32.5,72.8,None,0.0,Drip Irrigation,None / Healthy,0.5,3.18,1.59,0.0,15.0,6.0,IRRIGATE_IMMEDIATELY,Immediate,3.5
Potato,Seedling,Clay Loam,45.6,40.1,73.6,None,0.0,Flood / Surface,None / Healthy,0.5,4.19,2.1,0.0,34.0,18.0,OPTIMAL_STANDBY,Low,0.0
Tomato,Fruiting,Sandy Loam,23.0,38.4,49.0,None,0.0,Sprinkler (Overhead),None / Healthy,1.2,5.21,6.25,0.0,22.0,10.0,OPTIMAL_STANDBY,Low,0.0
Corn,Seedling,Sandy Loam,18.7,23.1,58.7,Moderate,11.9,Flood / Surface,None / Healthy,0.4,2.33,0.93,7.01,22.0,10.0,DELAY_RAIN_EXPECTED,Moderate,0.0
Tomato,Vegetative,Loamy,25.6,28.3,59.2,High,24.6,Drip Irrigation,None / Healthy,0.85,3.08,2.62,17.18,28.0,14.0,DELAY_RAIN_EXPECTED,Low,0.0
Pepper Bell,Maturity,Sandy,4.0,30.0,26.8,None,0.0,Drip Irrigation,Potato Late Blight,0.85,4.55,3.87,0.0,15.0,6.0,IRRIGATE_IMMEDIATELY,Immediate,4.67
Tomato,Maturity,Sandy,15.5,32.9,87.1,Low,1.2,Sub-surface Drip,Tomato Septoria Leaf Spot,0.8,2.93,2.34,0.0,15.0,6.0,OPTIMAL_STANDBY,Low,0.0
Sugarcane,Maturity,Clay Loam,15.5,23.0,62.8,None,0.0,Drip Irrigation,Tomato Yellow Leaf Curl Virus,0.7,2.21,1.55,0.0,34.0,18.0,IRRIGATE_IMMEDIATELY,Immediate,3.5
Pepper Bell,Fruiting,Black Soil,40.8,16.9,87.8,Low,3.8,Sub-surface Drip,None / Healthy,1.1,2.0,2.2,0.57,40.0,22.0,OPTIMAL_STANDBY,Low,0.0
Tomato,Fruiting,Black Soil,41.6,40.9,42.5,None,0.0,Sub-surface Drip,None / Healthy,1.2,6.06,7.27,0.0,40.0,22.0,OPTIMAL_STANDBY,Low,0.0
Potato,Seedling,Black Soil,26.7,37.8,67.5,Low,2.8,Sprinkler (Overhead),Tomato Early Blight,0.5,4.17,2.08,0.0,40.0,22.0,SUSPEND_OVERHEAD_BLIGHT,Immediate,0.0
Pepper Bell,Flowering,Clay Loam,32.8,31.7,52.0,Moderate,16.9,Flood / Surface,None / Healthy,1.05,3.89,4.08,11.04,34.0,18.0,DELAY_RAIN_EXPECTED,Low,0.0
Pepper Bell,Flowering,Black Soil,34.5,30.1,31.1,High,27.4,Drip Irrigation,Tomato Yellow Leaf Curl Virus,1.05,4.4,4.62,19.45,40.0,22.0,DELAY_RAIN_EXPECTED,Low,0.0
Wheat,Seedling,Black Soil,49.2,36.4,74.1,Low,4.5,Sub-surface Drip,None / Healthy,0.4,3.65,1.46,1.1,40.0,22.0,OPTIMAL_STANDBY,Low,0.0
Cotton,Fruiting,Loamy,24.7,18.1,57.9,None,0.0,Flood / Surface,None / Healthy,0.85,2.0,1.7,0.0,28.0,14.0,MAINTENANCE_DRIP,Normal,1.9
